DATE,DESCRIPTION,AMOUNT,STATUS,IS_DEBIT,MONTH,YEAR,CATEGORY
2026-04-28,GOOGLE*COLAB SUPPORT.GOOGLCA,-10.96,Posted,True,2026-04,2026,Technology
2026-04-27,COSTCO WHSE #0352 CORDOVA TN,-39.65,Posted,True,2026-04,2026,Groceries
2026-04-27,WM SUPERCENTER #950 BARTLETT TN,-27.5,Posted,True,2026-04,2026,Groceries
2026-04-27,CORDOVA FARMERS MARKET CODOVA TN,-27.45,Posted,True,2026-04,2026,Groceries
2026-04-21,APPLE.COM/BILL 866-712-7753 CA,-12.05,Posted,True,2026-04,2026,Technology
2026-04-21,WALGREENS #6958 ARLINGTON TN,-60.33,Posted,True,2026-04,2026,Groceries
2026-04-21,TARGET 00010306 MEMPHIS TN,-43.89,Posted,True,2026-04,2026,Shopping
2026-04-21,ULTA #316 CORDOVA TN,-57.27,Posted,True,2026-04,2026,Shopping
2026-04-20,ONLINE PAYMENT THANK YOU,849.02,Posted,False,2026-04,2026,Payment
2026-04-20,APPLE.COM/BILL 866-712-7753 CA,-2.99,Posted,True,2026-04,2026,Technology
2026-04-16,APPLE.COM/BILL 866-712-7753 CA,-86.68,Posted,True,2026-04,2026,Technology
2026-04-15,WM SUPERCENTER #950 BARTLETT TN,-29.19,Posted,True,2026-04,2026,Groceries
2026-04-15,LE DELIGHTS CORDOVA TN,-31.24,Posted,True,2026-04,2026,Food & Dining
2026-04-15,CORDOVA FARMERS MARKET CODOVA TN,-9.62,Posted,True,2026-04,2026,Groceries
2026-04-11,H&M 0621MEMPHIS MEMPHIS TN,-44.0,Posted,True,2026-04,2026,Shopping
2026-04-09,APPLE.COM/BILL 866-712-7753 CA,-13.16,Posted,True,2026-04,2026,Technology
2026-04-03,KROGER #456 BARTLETT TN,-17.55,Posted,True,2026-04,2026,Groceries
2026-04-03,LE DELIGHTS CORDOVA TN,-22.61,Posted,True,2026-04,2026,Food & Dining
2026-04-03,ALDI 70064 CORDOVA TN,-37.45,Posted,True,2026-04,2026,Groceries
2026-04-03,CORDOVA FARMERS MARKET CODOVA TN,-12.27,Posted,True,2026-04,2026,Groceries
2026-03-31,DEEPLEARNING.AI DEEPLEARNING.NV,-30.0,Posted,True,2026-03,2026,Other
2026-03-28,COSTCO GAS #0352 CORDOVA TN,-38.55,Posted,True,2026-03,2026,Gas
2026-03-28,COSTCO WHSE #0352 CORDOVA TN,-36.81,Posted,True,2026-03,2026,Shopping
